datasets,cost,pref_idx,reward_cate,reward_lagrange,reward_constraint,reward_linear,welfare_cate,welfare_lagrange,welfare_constraint,welfare_linear,harm_cate,harm_lagrange,harm_constraint,harm_linear,rr_cate,rr_lagrange,rr_constraint,rr_linear,epsilon,std_cate_reward,std_lagrange_reward,std_constraint_reward,std_linear_reward,std_cate_welfare,std_lagrange_welfare,std_constraint_welfare,std_linear_welfare,std_cate_harm,std_lagrange_harm,std_constraint_harm,std_linear_harm,std_epsilon,panelty
jobs,0.0500,3,1782.6125,1761.3675,1769.1700,1774.4325,584.2000,552.4500,561.0000,568.4500,75.0500,42.6000,42.7500,48.6500,23.7523,41.3467,41.3841,36.4734,50.3602,4.0055,58.9226,54.9646,59.1757,4.0200,64.7468,60.4789,65.5709,2.1089,5.1711,5.8470,4.3506,0.1244,20
jobs,0.0500,4,1780.8900,1767.7750,1760.4950,1770.0750,582.6000,558.9500,549.9500,561.5500,76.1000,41.3000,37.8000,40.7500,23.4020,42.8033,46.5739,43.4374,38.7082,4.2088,53.5191,58.1617,56.2121,4.3749,58.7609,63.7436,62.4351,2.5865,5.1391,4.9558,5.7695,0.0983,20
jobs,0.0500,5,1781.0975,1762.9725,1752.5750,1759.7475,582.6000,553.3000,539.4000,549.0000,74.7500,39.6500,32.1000,36.8000,23.8274,44.4634,54.5974,47.8192,28.8557,2.6293,59.5784,57.3729,54.5217,2.8000,65.4455,62.5583,60.6284,1.4790,4.6613,3.5763,4.1304,0.0593,20
jobs,0.0500,6,1780.4725,1765.0225,1720.0075,1729.8875,582.1000,556.2500,501.5500,512.5000,75.4000,41.9000,23.7500,24.2000,23.6137,42.1246,72.4214,71.4830,17.1336,2.7063,56.5227,50.8136,49.9946,2.7368,61.4059,55.5378,55.3367,1.9596,4.4933,2.9979,4.2732,0.0325,20
jobs,0.0500,7,1780.8000,1750.6850,1660.3725,1287.6275,582.4000,540.5000,432.9500,26.1500,74.9500,41.6500,9.4000,0.8000,23.7598,42.0333,176.6354,1609.5344,0.0000,2.9395,77.7708,6.7242,5.7089,2.9732,85.1220,7.2490,6.0023,2.0851,5.8075,1.3565,0.8718,0.0000,20
jobs,0.1000,0,1707.1250,1691.9800,1695.0400,1697.6350,566.6000,532.3000,541.5500,554.0500,64.4000,38.3500,47.1500,63.6000,26.5082,44.1194,35.9499,26.6924,63.2077,3.5693,47.7498,51.4942,53.3743,4.0423,59.2875,63.0234,67.6310,1.9596,5.7643,6.0932,5.2288,0.1867,20
jobs,0.1000,1,1706.0150,1695.9200,1693.6750,1700.7850,565.4500,537.6500,536.8000,553.0500,65.0500,39.3000,42.0000,54.8000,26.2262,43.1532,40.3256,31.0362,55.8435,5.3057,43.4190,45.3623,49.1697,5.5810,53.0540,56.3042,62.3269,2.8368,4.1845,6.5574,6.6227,0.1212,20
jobs,0.1000,2,1706.9950,1695.8900,1696.4200,1699.4800,566.5000,538.4000,539.4000,548.2000,65.3500,40.4000,40.7500,49.5500,26.1208,41.9775,41.6299,34.2983,49.9530,4.3834,49.8559,48.5862,50.5882,4.3875,60.1310,59.5537,63.0401,2.3511,5.3981,5.2429,5.1911,0.1503,20
jobs,0.1000,3,1706.4700,1683.2350,1691.5450,1711.8800,565.9000,523.1000,529.7000,558.7000,65.3500,39.6000,35.2000,42.4500,26.1128,42.5059,48.0553,40.3270,41.1469,5.1417,64.5240,47.6951,4.4005,5.4305,79.0297,59.3280,5.1391,2.6129,5.6868,5.8017,2.0609,0.1264,20
jobs,0.1000,4,1706.7600,1690.9350,1686.8900,1699.1900,566.3000,531.3500,521.8500,540.6500,64.6000,38.3000,31.3500,37.6000,26.4204,44.1497,53.8083,45.1912,33.7736,3.4046,50.2283,46.8297,46.9025,3.4366,60.9215,57.0686,58.6679,2.2226,5.2450,3.6915,5.2858,0.0865,20
jobs,0.1000,5,1707.1050,1684.0050,1683.7450,1696.7600,566.8000,521.9500,514.9000,536.3000,65.6500,37.1500,26.8500,35.3500,26.0031,45.3299,62.7093,47.9989,23.5609,4.3821,62.7539,12.1402,4.3048,4.6433,78.5681,15.6170,5.0408,1.9564,7.2269,3.1824,1.6815,0.0840,20
jobs,0.1000,6,1707.1400,1682.0200,1649.3200,1666.7150,566.7000,521.8500,469.5000,491.8000,64.6500,40.4500,19.8500,21.5500,26.4059,41.5827,83.0892,77.3418,14.8940,4.6579,69.1795,41.2744,11.7674,4.8384,84.2272,49.1910,14.8007,2.1972,6.2408,2.1278,1.9358,0.0379,20
jobs,0.1000,7,1708.5950,1691.9900,1600.0700,1282.2000,568.2000,533.6000,404.5000,23.1000,64.7000,40.3000,8.4000,1.0000,26.4080,41.9849,190.4845,1282.2000,0.0000,2.9219,50.4201,41.5409,7.4616,2.8914,62.1163,49.9465,8.4788,1.8466,5.7888,1.2410,0.7746,0.0000,20
